1,Bulbasaur,Seed Pokemon,grass,poison,Overgrow and Chlorophyll,6.9,0.7,45,49,49,65,65,45,0,Bulbasaur
2,Ivysaur,Seed Pokemon,grass,poison,Overgrow and Chlorophyll,13,1,60,62,63,80,80,60,0,Ivysaur
3,Venusaur,Seed Pokemon,grass,poison,Overgrow and Chlorophyll,100,2,80,82,83,100,100,80,1,Venusaur
4,Charmander,Lizard Pokemon,fire,,Blaze and Solar Power,8.5,0.6,39,52,43,60,50,65,0,Charmander
5,Charmeleon,Flame Pokemon,fire,,Blaze and Solar Power,19,1.1,58,64,58,80,65,80,0,Charmeleon
6,Charizard,Flame Pokemon,fire,flying,Blaze and Solar Power,90.5,1.7,78,84,78,109,85,100,1,Charizard
7,Squirtle,Tiny Turtle Pokemon,water,,Torrent and Rain Dish,9,0.5,44,48,65,50,64,43,0,Squirtle
8,Wartortle,Turtle Pokemon,water,,Torrent and Rain Dish,22.5,1,59,63,80,65,80,58,0,Wartortle
9,Blastoise,Shellfish Pokemon,water,,Torrent and Rain Dish,85.5,1.6,79,83,100,85,105,78,1,Blastoise
10,Caterpie,Worm Pokemon,bug,,Shield Dust and Run Away,2.9,0.3,45,30,35,20,20,45,0,Caterpie
11,Metapod,Cocoon Pokemon,bug,,Shed Skin,9.9,0.7,50,20,55,25,25,30,0,Metapod
12,Butterfree,Butterfly Pokemon,bug,flying,Compoundeyes and Tinted Lens,32,1.1,60,45,50,90,80,70,0,Butterfree
13,Weedle,Hairy Pokemon,bug,poison,Shield Dust and Run Away,3.2,0.3,40,35,30,20,20,50,0,Weedle
14,Kakuna,Cocoon Pokemon,bug,poison,Shed Skin,10,0.6,45,25,50,25,25,35,0,Kakuna
15,Beedrill,Poison Bee Pokemon,bug,poison,Swarm and Sniper,29.5,1,65,90,40,45,80,75,1,Beedrill
16,Pidgey,Tiny Bird Pokemon,normal,flying,Keen Eye and Tangled Feet and Big Pecks,1.8,0.3,40,45,40,35,35,56,0,Pidgey
17,Pidgeotto,Bird Pokemon,normal,flying,Keen Eye and Tangled Feet and Big Pecks,30,1.1,63,60,55,50,50,71,0,Pidgeotto
18,Pidgeot,Bird Pokemon,normal,flying,Keen Eye and Tangled Feet and Big Pecks,39.5,1.5,83,80,75,70,70,101,1,Pidgeot
19,Rattata,Mouse Pokemon,normal,,Run Away and Guts and Hustle,3.5,0.3,30,56,35,25,35,72,1,Rattata
20,Raticate,Mouse Pokemon,normal,,Run Away and Guts and Hustle,18.5,0.7,55,81,60,50,70,97,1,Raticate
21,Spearow,Tiny Bird Pokemon,normal,flying,Keen Eye and Sniper,2,0.3,40,60,30,31,31,70,0,Spearow
22,Fearow,Beak Pokemon,normal,flying,Keen Eye and Sniper,38,1.2,65,90,65,61,61,100,0,Fearow
23,Ekans,Snake Pokemon,poison,,Intimidate and Shed Skin and Unnerve,6.9,2,35,60,44,40,54,55,0,Ekans
24,Arbok,Cobra Pokemon,poison,,Intimidate and Shed Skin and Unnerve,65,3.5,60,95,69,65,79,80,0,Arbok
25,Pikachu,Mouse Pokemon,electric,,Static and Lightningrod,6,0.4,35,55,40,50,50,90,0,Pikachu
26,Raichu,Mouse Pokemon,electric,,Static and Lightningrod,30,0.8,60,90,55,90,80,110,1,Raichu
27,Sandshrew,Mouse Pokemon,ground,,Sand Veil and Sand Rush,12,0.6,50,75,85,20,30,40,1,Sandshrew
28,Sandslash,Mouse Pokemon,ground,,Sand Veil and Sand Rush,29.5,1,75,100,110,45,55,65,1,Sandslash
29,Nidoran-f,Poison Pin Pokemon,poison,,Poison Point and Rivalry and Hustle,7,0.4,55,47,52,40,40,41,0,Nidoran-f
30,Nidorina,Poison Pin Pokemon,poison,,Poison Point and Rivalry and Hustle,20,0.8,70,62,67,55,55,56,0,Nidorina
31,Nidoqueen,Drill Pokemon,poison,ground,Poison Point and Rivalry and Sheer Force,60,1.3,90,92,87,75,85,76,0,Nidoqueen
32,Nidoran-m,Poison Pin Pokemon,poison,,Poison Point and Rivalry and Hustle,9,0.5,46,57,40,40,40,50,0,Nidoran-m
33,Nidorino,Poison Pin Pokemon,poison,,Poison Point and Rivalry and Hustle,19.5,0.9,61,72,57,55,55,65,0,Nidorino
34,Nidoking,Drill Pokemon,poison,ground,Poison Point and Rivalry and Sheer Force,62,1.4,81,102,77,85,75,85,0,Nidoking
35,Clefairy,Fairy Pokemon,fairy,,Cute Charm and Magic Guard and Friend Guard,7.5,0.6,70,45,48,60,65,35,0,Clefairy
36,Clefable,Fairy Pokemon,fairy,,Cute Charm and Magic Guard and Unaware,40,1.3,95,70,73,95,90,60,0,Clefable
37,Vulpix,Fox Pokemon,fire,,Flash Fire and Drought and Snow Cloak and Snow Warning,9.9,0.6,38,41,40,50,65,65,1,Vulpix
38,Ninetales,Fox Pokemon,fire,,Flash Fire and Drought and Snow Cloak and Snow Warning,19.9,1.1,73,76,75,81,100,100,1,Ninetales
39,Jigglypuff,Balloon Pokemon,normal,fairy,Cute Charm and Competitive and Friend Guard,5.5,0.5,115,45,20,45,25,20,0,Jigglypuff
40,Wigglytuff,Balloon Pokemon,normal,fairy,Cute Charm and Competitive and Frisk,12,1,140,70,45,85,50,45,0,Wigglytuff
41,Zubat,Bat Pokemon,poison,flying,Inner Focus and Infiltrator,7.5,0.8,40,45,35,30,40,55,0,Zubat
42,Golbat,Bat Pokemon,poison,flying,Inner Focus and Infiltrator,55,1.6,75,80,70,65,75,90,0,Golbat
43,Oddish,Weed Pokemon,grass,poison,Chlorophyll and Run Away,5.4,0.5,45,50,55,75,65,30,0,Oddish
44,Gloom,Weed Pokemon,grass,poison,Chlorophyll and Stench,8.6,0.8,60,65,70,85,75,40,0,Gloom
45,Vileplume,Flower Pokemon,grass,poison,Chlorophyll and Effect Spore,18.6,1.2,75,80,85,110,90,50,0,Vileplume
46,Paras,Mushroom Pokemon,bug,grass,Effect Spore and Dry Skin and Damp,5.4,0.3,35,70,55,45,55,25,0,Paras
47,Parasect,Mushroom Pokemon,bug,grass,Effect Spore and Dry Skin and Damp,29.5,1,60,95,80,60,80,30,0,Parasect
48,Venonat,Insect Pokemon,bug,poison,Compoundeyes and Tinted Lens and Run Away,30,1,60,55,50,40,55,45,0,Venonat
49,Venomoth,Poison Moth Pokemon,bug,poison,Shield Dust and Tinted Lens and Wonder Skin,12.5,1.5,70,65,60,90,75,90,0,Venomoth
50,Diglett,Mole Pokemon,ground,,Sand Veil and Arena Trap and Sand Force and Sand Veil and Tangling Hair and Sand Force,0.8,0.2,10,55,25,35,45,95,1,Diglett
